frame,threshold,blink,ear_norm
0,0.0,0.0,0.551197556549631
1,0.0,0.0,0.579456680194808
2,0.0,0.0,0.6005490160019472
3,0.0,0.0,0.642141138847022
4,0.0,0.0,0.5838791554627202
5,0.0,0.0,0.5911335184084698
6,0.0,0.0,0.5571205310579052
7,0.0,0.0,0.5803107194164573
8,0.0,0.0,0.583932370389322
9,0.0,0.0,0.6003023310265132
10,0.0,0.0,0.5826772954131709
11,0.0,0.0,0.5990295816297203
12,0.0,0.0,0.6750891049599493
13,0.0,0.0,0.626391023012138
14,1.0,0.0,0.6803244720427003
15,0.0,0.0,0.647329705311083
16,0.0,0.0,0.6517310500116554
17,0.0,0.0,0.6674102579680923
18,0.0,0.0,0.6327608543745254
19,0.0,0.0,0.6408542205185597
20,0.0,0.0,0.6773824136469748
21,1.0,0.0,0.710107805274106
22,0.0,0.0,0.7020929508823507
23,0.0,0.0,0.6743245516568074
24,0.0,0.0,0.7018976260945695
25,0.0,0.0,0.7084653370872813
26,0.0,0.0,0.6781695434071131
27,0.0,0.0,0.6368156054188081
28,0.0,0.0,0.671786409004483
29,1.0,0.0,0.6897414200842401
30,0.0,0.0,0.6882597255955305
31,0.0,0.0,0.7260104949391243
32,0.0,0.0,0.6876326161030184
33,0.0,0.0,0.7313878101481202
34,0.0,0.0,0.6416486891539206
35,0.0,0.0,0.6861142003024412
36,0.0,0.0,0.6845592905379482
37,0.0,0.0,0.6774895716851258
38,0.0,0.0,0.6905108484252238
39,0.0,0.0,0.7362261706051019
40,0.0,0.0,0.6593950475463589
41,0.0,0.0,0.705823991813117
42,0.0,0.0,0.7219136152828899
43,0.0,0.0,0.681182739686716
44,0.0,0.0,0.6965184383435936
45,0.0,0.0,0.6773464136275739
46,0.0,0.0,0.6835809047980564
47,0.0,0.0,0.746572991306447
48,0.0,0.0,0.6865691950434606
49,0.0,0.0,0.7551461858471953
50,0.0,0.0,0.7214432009477724
51,0.0,0.0,0.6753121547476133
52,0.0,0.0,0.6297180051641672
53,0.0,0.0,0.657345979282688
54,1.0,0.0,0.6982739671694327
55,0.0,0.0,0.7619330340351307
56,0.0,0.0,0.717494860739348
57,0.0,0.0,0.7511650681438664
58,0.0,0.0,0.752279836592807
59,0.0,0.0,0.7029071263736355
60,0.0,0.0,0.7143239107163956
61,0.0,0.0,0.6898301211926113
62,0.0,0.0,0.6955168315472522
63,0.0,0.0,0.6817683747218071
64,0.0,0.0,0.7266971764579709
65,0.0,0.0,0.70663271853613
66,0.0,0.0,0.7270027187273291
67,0.0,0.0,0.7165466118928803
68,0.0,0.0,0.6208195860429615
69,0.0,0.0,0.6386725707155875
70,0.0,0.0,0.6396608962090943
71,0.0,0.0,0.6431033685467453
72,0.0,0.0,0.6274343981207996
73,0.0,0.0,0.6296416528061539
74,0.0,0.0,0.6008545027410036
75,0.0,0.0,0.6172246104457296
76,0.0,0.0,0.6697277580891816
77,1.0,0.0,0.705900176622319
78,0.0,0.0,0.6891321944222819
79,0.0,0.0,0.6634190542621665
80,0.0,0.0,0.7072822142154203
81,0.0,0.0,0.6594230791638632
82,0.0,0.0,0.7033693505851666
83,0.0,0.0,0.7579005128347117
84,0.0,0.0,0.7184556463793258
85,0.0,0.0,0.7324595931082339
86,0.0,0.0,0.7473255545861838
87,0.0,0.0,0.7487069901526097
88,0.0,0.0,0.74706355903527
89,0.0,0.0,0.7529098832044687
90,0.0,0.0,0.6897627473814386
91,0.0,0.0,0.7562526779857601
92,0.0,0.0,0.7461793992495932
93,0.0,0.0,0.7402127667624149
94,0.0,0.0,0.7489974599968875
95,0.0,0.0,0.7574109732158795
96,0.0,0.0,0.7568418243471264
97,0.0,0.0,0.7081242797715562
98,0.0,0.0,0.6976965329074337
99,0.0,0.0,0.6536300799866162
100,0.0,0.0,0.6935372287694673
101,0.0,0.0,0.6971028291181435
102,0.0,0.0,0.6795076253237805
103,0.0,0.0,0.7090795272416424
104,0.0,0.0,0.6563589494938157
105,0.0,0.0,0.6801464197175137
106,0.0,0.0,0.7386421934567616
107,0.0,0.0,0.7025020436119068
108,0.0,0.0,0.7705140918842326
109,0.0,0.0,0.7022633204008728
110,0.0,0.0,0.7868710516008791
111,0.0,0.0,0.7361293390561156
112,0.0,0.0,0.759319410250187
113,0.0,0.0,0.8094093213815986
114,0.0,0.0,0.7696084520001397
115,0.0,0.0,0.7380459204703801
116,0.0,0.0,0.7454842996485581
117,0.0,0.0,0.748708994330676
118,0.0,0.0,0.707645278422092
119,0.0,0.0,0.7046260574381964
120,0.0,0.0,0.6932777569365903
121,0.0,0.0,0.6933030755645299
122,0.0,0.0,0.69813234165051
123,0.0,0.0,0.6777655708476772
124,0.0,0.0,0.6621018649074574
125,0.0,0.0,0.676396387385994
126,1.0,0.0,0.6818522116205948
127,0.0,0.0,0.6786360919472748
128,0.0,0.0,0.6650512575606955
129,0.0,0.0,0.669476970853309
130,1.0,0.0,0.7122937246913568
131,0.0,0.0,0.6374320826010735
132,0.0,0.0,0.6636565470729654
133,0.0,0.0,0.6697569992637463
134,0.0,0.0,0.6353562720030707
135,0.0,0.0,0.6466889665153885
136,0.0,0.0,0.6734142290490092
137,1.0,0.0,0.6803309551063642
138,0.0,0.0,0.6486325139084967
139,0.0,0.0,0.6680454024596523
140,0.0,0.0,0.6611414611160489
141,0.0,0.0,0.65468346266479
142,1.0,0.0,0.6888630765056069
143,0.0,0.0,0.6783037150024208
144,0.0,0.0,0.6499048036283764
145,0.0,0.0,0.6960039891498926
146,0.0,0.0,0.6537112128123634
147,0.0,0.0,0.6561931942973793
148,0.0,0.0,0.6686386634049452
149,0.0,0.0,0.6462054587746301
150,0.0,0.0,0.6386196067682475
151,0.0,0.0,0.6184338078171302
152,0.0,0.0,0.6417949645958346
153,0.0,0.0,0.626257869639446
154,0.0,0.0,0.5994005375893812
155,0.0,0.0,0.6030905269329666
156,0.0,0.0,0.6004292725675096
157,0.0,0.0,0.5977847056400412
158,0.0,0.0,0.5397983240867146
159,0.0,0.0,0.5315230935431148
160,0.0,0.0,0.48929103283305025
161,0.0,0.0,0.4666388382830906
162,0.0,0.0,0.5107832231639226
163,0.0,0.0,0.49642878783580446
164,0.0,0.0,0.45759860007056574
165,0.0,0.0,0.48583237920197275
166,0.0,0.0,0.49405854610326655
167,0.0,0.0,0.48908342921013453
168,0.0,0.0,0.4552632663167184
169,0.0,0.0,0.48369202200174954
170,0.0,0.0,0.4773945232229296
171,0.0,0.0,0.47765923685687234
172,0.0,0.0,0.5032601926240292
173,0.0,0.0,0.4848664513442862
174,0.0,0.0,0.47391167174755267
175,0.0,0.0,0.4352223630290981
176,0.0,0.0,0.4058456705500057
177,0.0,0.0,0.414920178806237
178,0.0,0.0,0.3896113937061518
179,0.0,0.0,0.40222762201000917
180,0.0,0.0,0.41354240293710437
181,0.0,0.0,0.4199257884178274
182,0.0,0.0,0.4295236399107028
183,0.0,0.0,0.3595632491797632
184,0.0,0.0,0.16633608176144005
185,0.0,0.0,0.20689957247148913
186,0.0,0.0,0.24011955427123818
187,0.0,1.0,0.2776639728249334
188,0.0,0.0,0.12156971931087866
189,0.0,0.0,0.08755486730623342
190,0.0,0.0,0.2209033121671265
191,0.0,0.0,0.22818578705412612
192,0.0,0.0,0.2358091679182513
193,0.0,0.0,0.25158951755529496
194,0.0,0.0,0.1834632565395373
195,0.0,0.0,0.1648079425162381
196,0.0,0.0,0.2289985700860164
197,0.0,0.0,0.2761565525452066
198,0.0,0.0,0.2961075391597032
199,0.0,0.0,0.031791818072954954
200,0.0,0.0,0.13668244510514058
201,0.0,0.0,0.11438344515059932
202,0.0,0.0,0.17215928187916224
203,0.0,0.0,0.13146831129692216
204,0.0,0.0,0.14861217328736023
205,0.0,0.0,0.2187212758501771
206,0.0,0.0,0.1757340254590269
207,0.0,0.0,0.20125360417214833
208,0.0,0.0,0.0991361548820225
209,0.0,0.0,0.1293163310670184
210,0.0,0.0,0.06307671193296142
211,0.0,0.0,0.06406022943458088
212,0.0,0.0,0.13102021223401714
213,0.0,0.0,0.0
214,0.0,0.0,0.09808088778518316
215,0.0,0.0,0.1753038732637721
216,0.0,0.0,0.4018170111271383
217,0.0,0.0,0.32178455866981737
218,0.0,0.0,0.2698586181678121
219,1.0,0.0,0.6913687317666013
220,0.0,0.0,0.3954476333416391
221,0.0,0.0,0.15314968215313537
222,0.0,0.0,0.28305089544756695
223,0.0,0.0,0.1422128251948497
224,0.0,0.0,0.1594388101244834
225,0.0,0.0,0.25827789326452305
226,0.0,0.0,0.3431137282692292
227,0.0,0.0,0.0
228,0.0,0.0,0.0
229,0.0,0.0,0.0
230,0.0,0.0,0.0
231,0.0,0.0,0.0
232,0.0,0.0,0.3761344813896062
233,0.0,0.0,0.058670424574405224
234,0.0,0.0,0.15656931555559414
235,0.0,0.0,0.33512138617587356
236,0.0,0.0,0.4178614996482187
237,0.0,0.0,0.4590674263938875
238,0.0,0.0,0.42196333671013553
239,0.0,0.0,0.4123684178166678
240,0.0,0.0,0.46161611537307007
241,0.0,0.0,0.5573139379473175
242,0.0,0.0,0.5156115197793949
243,0.0,0.0,0.48989678657736774
244,0.0,0.0,0.5018425483852359
245,0.0,0.0,0.4603670365530267
246,0.0,0.0,0.47656378008460976
247,0.0,0.0,0.5130341579847068
248,0.0,0.0,0.5613248318456002
249,0.0,0.0,0.6051370680738403
250,0.0,0.0,0.5799441198887564
251,0.0,0.0,0.3388037459526244
252,0.0,0.0,0.12791727453438256
253,0.0,0.0,0.39715765237488526
254,0.0,0.0,0.12888559847422232
255,0.0,0.0,0.1940467165490902
256,0.0,0.0,0.07948249155637319
257,0.0,0.0,0.20878455742676985
258,0.0,0.0,0.19295234962676563
259,0.0,0.0,0.14488609233358662
260,0.0,0.0,0.22600676284374555
261,0.0,0.0,0.2502916231950709
262,0.0,0.0,0.33852960042574254
263,0.0,0.0,0.3069905664134209
264,0.0,0.0,0.31676430356956725
265,0.0,0.0,0.3941383386633688
