frame,threshold,blink,ear_norm
0,0,0.0,0.6511767553899881
1,0,0.0,0.6470496262956211
2,0,0.0,0.6273477684167205
3,0,0.0,0.6866708894286561
4,0,0.0,0.6774577706459649
5,0,0.0,0.6700473956657217
6,0,0.0,0.7119075457876658
7,0,0.0,0.7750720997532334
8,0,0.0,0.6665872295553128
9,0,0.0,0.49422169622190276
10,0,0.0,0.09344493650870546
11,0,0.0,0.3412902955486392
12,0,0.0,0.39607546669038507
13,1,0.0,0.549227853012066
14,0,1.0,0.6161850289845042
15,0,0.0,0.6293105881834099
16,0,0.0,0.6585357255324623
17,0,0.0,0.6456878541900657
18,0,0.0,0.667756664799725
19,0,0.0,0.6458651605248555
20,0,0.0,0.6711691164240378
21,0,0.0,0.6425927090918944
22,0,0.0,0.6710629771746164
23,0,0.0,0.6549791791660896
24,0,0.0,0.6222364102969316
25,0,0.0,0.654465825900205
26,0,0.0,0.5899300885114744
27,0,0.0,0.688535246774304
28,0,0.0,0.6566261143076058
29,0,0.0,0.6877662676984492
30,0,0.0,0.7174995094119068
31,0,0.0,0.7543481167178836
32,0,0.0,0.84003637742219
33,0,0.0,0.8101673945981365
34,0,0.0,0.8897460299370953
35,0,0.0,0.851051961774531
36,0,0.0,0.8685715225602924
37,0,0.0,0.9138259641354889
38,0,0.0,0.9523508917742769
39,0,0.0,0.8935068681150418
40,0,0.0,0.891647604102931
41,0,0.0,0.7374787888692651
42,0,0.0,0.7257064734474193
43,0,0.0,0.670227373209552
44,0,0.0,0.6947669304694645
45,0,0.0,0.7237477044834784
46,0,0.0,0.592529602612108
47,0,0.0,0.5968731995877027
48,0,0.0,0.7195085944254048
49,0,0.0,0.6525079449523926
50,0,0.0,0.6690318141568272
51,0,0.0,0.6344470735851716
52,0,0.0,0.7006279088233814
53,0,0.0,0.6748562096027324
54,0,0.0,0.7068013440638079
55,0,0.0,0.7480573131638754
56,0,0.0,0.7480190548235157
57,0,0.0,0.51117103499868
58,0,0.0,0.1494480425252033
59,0,0.0,0.2851440933608193
60,1,1.0,0.4240430726061105
61,0,0.0,0.49782514629758984
62,0,0.0,0.5558539964563295
63,0,0.0,0.6072126127640826
64,0,0.0,0.5823576840260878
65,0,0.0,0.6346162238967958
66,0,0.0,0.6596048147510322
67,0,0.0,0.6774807743526036
68,0,0.0,0.6324112010248135
69,0,0.0,0.6331778686960821
70,0,0.0,0.6116010031790509
71,0,0.0,0.6602992810416234
72,0,0.0,0.6653205382536183
73,0,0.0,0.6711691164240378
74,0,0.0,0.6891780172532322
75,0,0.0,0.6559028353761265
76,0,0.0,0.6718747968057903
77,0,0.0,0.6145172538632488
78,0,0.0,0.703374179952489
79,0,0.0,0.6877028050790995
80,0,0.0,0.7096641280314334
81,0,0.0,0.6267392639324625
82,0,0.0,0.6917167664199095
83,0,0.0,0.7231026696673235
84,0,0.0,0.6924585429272816
