frame,threshold,blink,ear_norm
0,0.0,0.0,0.6813061964906265
1,0.0,0.0,0.7384246663478957
2,0.0,0.0,0.5813218639367328
3,0.0,0.0,0.5625373530876897
4,1.0,0.0,0.6303831019596225
5,0.0,0.0,0.5720803133760287
6,0.0,0.0,0.6836677815818716
7,0.0,0.0,0.7534533085862274
8,0.0,0.0,0.7302853757622486
9,0.0,0.0,0.5996382901015147
10,0.0,0.0,0.6476554715153372
11,0.0,0.0,0.6191939722933992
12,0.0,0.0,0.589849262207231
13,0.0,0.0,0.5598598957379679
14,0.0,0.0,0.6238465133627883
15,0.0,0.0,0.6092348029084732
16,1.0,0.0,0.6682365985446574
17,0.0,0.0,0.6498491398982066
18,0.0,0.0,0.5470980404943028
19,0.0,0.0,0.5526768812521634
20,0.0,0.0,0.4378196709924347
21,0.0,0.0,0.41885771825794743
22,0.0,0.0,0.4993168640111705
23,0.0,0.0,0.48342592953473856
24,1.0,1.0,0.6440192054085194
25,0.0,0.0,0.5548374097291755
26,0.0,0.0,0.5502315106525878
27,1.0,0.0,0.6477916305024215
28,0.0,0.0,0.6784198867691784
29,0.0,0.0,0.6505871721586529
30,0.0,0.0,0.5712383434075367
31,0.0,0.0,0.5327184173129057
32,0.0,0.0,0.5548374097291755
33,0.0,0.0,0.607772678659795
34,0.0,0.0,0.5398754239122517
35,0.0,0.0,0.5596324646270817
36,0.0,0.0,0.4940612900849678
37,0.0,0.0,0.5353620410210123
38,1.0,0.0,0.629546054785048
39,0.0,0.0,0.569803634921851
40,0.0,0.0,0.5202054678664959
41,0.0,0.0,0.6072755282819471
42,0.0,0.0,0.5186070047837879
43,0.0,0.0,0.6095754918640599
44,0.0,0.0,0.45816194458701304
45,0.0,0.0,0.5227454885510087
46,0.0,0.0,0.5010262058453514
47,0.0,0.0,0.4979222742265368
48,0.0,0.0,0.43847048790719734
49,0.0,0.0,0.4274843398398432
50,0.0,0.0,0.46754224776885106
51,1.0,0.0,0.6480409324391315
52,0.0,0.0,0.6869633767079585
53,0.0,0.0,0.6770964567614393
54,0.0,0.0,0.5984042255520218
